queryOption,approximateQuery,inputTopicName,radius,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3avg_records, throughput
6,true,TaxiDrive17MillionGeoJSON,0.005,100,50,500,121105, 121006, 121090,121.067, 42574603, 41021665, 42444257,42013508.333333336, 347026.92173204373
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121003, 121108, 121034,121.04833333333333, 43014236, 43236839, 43417482,43222852.333333336, 357071.023971141
11,false,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121070, 121097, 121058,121.075, 42596667, 42245256, 42829525,42557149.333333336, 351494.1097116113
11,true,TaxiDrive17MillionGeoJSON,0.0005,100,50,200,121152, 121008, 121053,121.071, 43015105, 42736420, 42715031,42822185.333333336, 353694.8181920801
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121085, 121027, 121104,121.072, 43194365, 42872908, 42894415,42987229.333333336, 355055.085679045
11,true,TaxiDrive17MillionGeoJSON,0.05,100,50,200,121110, 121080, 121034,121.07466666666667, 42889876, 41463378, 42236034,42196429.333333336, 348515.7588705592
11,true,TaxiDrive17MillionGeoJSON,0.5,100,50,200,121099, 121075, 121055,121.07633333333332, 26755806, 26855008, 26753877,26788230.333333332, 221250.75640986816
11,true,TaxiDrive17MillionGeoJSON,0.005,50,50,200,121079, 121014, 121112,121.06833333333333, 41931229, 42950364, 43674005,42851866.0, 353947.7650362743
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121065, 121102, 121009,121.05866666666667, 43092109, 43030630, 43841024,43321254.333333336, 357853.3906425535
11,true,TaxiDrive17MillionGeoJSON,0.005,150,50,200,121111, 121013, 121101,121.075, 43189015, 43308311, 43182665,43226663.666666664, 357023.8584899167
11,true,TaxiDrive17MillionGeoJSON,0.005,200,50,200,121050, 121003, 121058,121.037, 43195268, 42979008, 42919885,43031387.0, 355522.58400323865
11,true,TaxiDrive17MillionGeoJSON,0.005,250,50,200,121005, 121033, 121113,121.05033333333333, 43110403, 42775986, 43385002,43090463.666666664, 355971.45815377077
11,true,TaxiDrive17MillionGeoJSON,0.005,250,25,200,121009, 121056, 121082,121.049, 43263481, 43367398, 43135877,43255585.333333336, 357339.4685898548
11,true,TaxiDrive17MillionGeoJSON,0.005,250,50,200,121117, 121107, 121083,121.10233333333333, 43688444, 41746825, 43070100,42835123.0, 353710.1377072283
11,true,TaxiDrive17MillionGeoJSON,0.005,250,75,200,121011, 121101, 121092,121.068, 42976576, 43385196, 43644277,43335349.666666664, 357942.2280591623
11,true,TaxiDrive17MillionGeoJSON,0.005,250,100,200,121090, 121097, 121108,121.09833333333333, 42668296, 43551446, 43863844,43361195.333333336, 358065.99595370155
11,true,TaxiDrive17MillionGeoJSON,0.005,250,125,200,121021, 121116, 121006,121.04766666666667, 43641636, 43410512, 42677396,43243181.333333336, 357240.932635353
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,100,121018, 121020, 121106,121.048, 42820243, 43218686, 43037165,43025364.666666664, 355440.52497081045
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121043, 121103, 121031,121.059, 43241989, 43395810, 42782849,43140216.0, 356356.9499169826
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,300,121058, 121085, 121044,121.06233333333333, 42193447, 42789206, 43335287,42772646.666666664, 353310.93899286044
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,400,121066, 121109, 121022,121.06566666666667, 43437272, 43161061, 42896869,43165067.333333336, 356542.5980941473
11,true,TaxiDrive17MillionGeoJSON,0.005,100,50,500,121017, 121019, 121109,121.04833333333333, 42456606, 42127687, 42232212,42272168.333333336, 349217.2685841744
2,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121043, 121104, 121099,121.082, 45844853, 45090813, 45780318,45571994.666666664, 376372.9924073493
2,false,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121008, 121060, 121002,121.02333333333333, 45981352, 46061433, 44862302,45635029.0, 377076.28556476714
2,true,TaxiDrive17MillionGeoJSON,0.0005,100,50,200,121010, 121088, 121064,121.054, 46564853, 45918229, 46171853,46218311.666666664, 381799.1282127535
2,true,TaxiDrive17MillionGeoJSON,0.005,100,50,200,121025, 121052, 121022,121.033, 46078640, 46255369, 46563586,46299198.333333336, 382533.6753888058
2,true,TaxiDrive17MillionGeoJSON,0.05,100,50,200,121088, 121105, 121045,121.07933333333332, 45408355, 45407429, 46027545,45614443.0, 376731.86450756807
2,true,TaxiDrive17MillionGeoJSON,0.5,100,50,200,121021, 121023, 121038,121.02733333333333, 36530297, 36250622, 36143246,36308055.0, 299998.80192353245
