queryOption,approximateQuery,inputTopicName,radius,k,wInterval,wStep,uniformGridSize,executionCost1, executionCost2, executionCost3,avg_time_sec, numberRecords1, numberRecords2, numberRecords3, avg_records, throughput
82,true,NYCBuildingsLineStrings,0.5,50,100,50,200,121028, 121076, 121086,121.06333333333333, 4761761, 4606846, 4615184,4661263.666666667, 38502.687298659104
82,true,NYCBuildingsLineStrings,0.005,50,100,50,100,121032, 121073, 121022,121.04233333333333, 19832525, 19928580, 19987658,19916254.333333332, 164539.57706257037
82,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121055, 121064, 121024,121.04766666666667, 19822497, 19921999, 19892261,19878919.0, 164223.8925161713
82,true,NYCBuildingsLineStrings,0.005,50,100,50,300,121103, 121032, 121035,121.05666666666667, 19796528, 19752641, 19586753,19711974.0, 162832.61833301207
82,true,NYCBuildingsLineStrings,0.005,50,100,50,400,121006, 121024, 121060,121.03, 19543951, 19731133, 19778091,19684391.666666668, 162640.5987496213
82,true,NYCBuildingsLineStrings,0.005,50,100,50,500,121018, 121086, 121103,121.069, 19332459, 19064841, 19092792,19163364.0, 158284.6475976509
87,true,NYCBuildingsLineStrings,0.005,25,100,50,200,121106, 121011, 121088,121.06833333333333, 19663808, 19667602, 19319739,19550383.0, 161482.21803113943
87,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121024, 121061, 121084,121.05633333333333, 19712037, 19868032, 19639443,19739837.333333332, 163063.23502281308
87,true,NYCBuildingsLineStrings,0.005,75,100,50,200,121018, 121083, 121008,121.03633333333333, 19552227, 19702634, 19669885,19641582.0, 162278.3957434269
87,true,NYCBuildingsLineStrings,0.005,100,100,50,200,121108, 121044, 121106,121.086, 19655498, 19830601, 19688202,19724767.0, 162898.8239763474
87,true,NYCBuildingsLineStrings,0.005,125,100,50,200,121008, 121107, 121066,121.06033333333333, 19719267, 19880023, 19902085,19833791.666666668, 163833.94230425052
87,true,NYCBuildingsLineStrings,0.0005,50,100,50,200,121077, 121108, 121038,121.07433333333333, 19835033, 19843579, 19870333,19849648.333333332, 163945.96432494637
87,true,NYCBuildingsLineStrings,0.005,50,100,50,200,121105, 121105, 121077,121.09566666666667, 19813728, 19631970, 19695142,19713613.333333332, 162793.71406078388
87,true,NYCBuildingsLineStrings,0.05,50,100,50,200,121104, 121034, 121105,121.081, 17630336, 17814124, 17728452,17724304.0, 146383.8587391911
87,true,NYCBuildingsLineStrings,0.5,50,100,50,200,121032, 121098, 121021,121.05033333333333, 4346838, 4012825, 4414601,4258088.0, 35176.17740278837
87,true,NYCBuildingsLineStrings,0.005,50,100,50,100,121007, 121049, 121106,121.054, 19731975, 19925813, 19854878,19837555.333333332, 163873.60461722314
